Student [ID=2000000001, Name='Fuo Henetoku', Test Score=57.0]
Student [ID=2000000198, Name='Dimup Vofu', Test Score=91.0]
Student [ID=2000000124, Name='Egameg Vua', Test Score=91.0]
Student [ID=2000000149, Name='Emazubu Waze', Test Score=44.0]
Student [ID=2000000180, Name='Epiwa Yoat', Test Score=54.0]
Student [ID=2000000082, Name='Fequde Osawej', Test Score=13.0]
Student [ID=2000000072, Name='Fucabaze Texawuna', Test Score=19.0]
Student [ID=2000000817, Name='Fuga Kuiwoag', Test Score=40.0]
Student [ID=2000000867, Name='Fuluqi Ubivaxe', Test Score=92.0]
Student [ID=2000000016, Name='Haah Okeetin', Test Score=78.0]
Student [ID=2000000011, Name='Mab Aga', Test Score=87.0]
Student [ID=2000000284, Name='Muogi Juegupav', Test Score=98.0]
Student [ID=2000000021, Name='Mutosiwo Foio', Test Score=35.0]
Student [ID=2000000026, Name='Num Diiboefu', Test Score=68.0]
Student [ID=2000000058, Name='Pesikul Keol', Test Score=64.0]
Student [ID=2000000012, Name='Ruer Cekuj', Test Score=68.0]
Student [ID=2000000022, Name='Unoveq Vufiuse', Test Score=57.0]
Student [ID=2000000043, Name='Wucibeo Uravij', Test Score=65.0]
Student [ID=2000000028, Name='Yiseorel Soge', Test Score=74.0]
Student [ID=2000000289, Name='Acaa Faje', Test Score=21.0]
Student [ID=2000000543, Name='Agaxuqoj Sak', Test Score=60.0]
Student [ID=2000000841, Name='Akene Vaasus', Test Score=66.0]
Student [ID=2000000468, Name='Amicu Weteofa', Test Score=10.0]
Student [ID=2000000137, Name='Aqab Jiqecu', Test Score=14.0]
Student [ID=2000000069, Name='Caje Mucataru', Test Score=67.0]
Student [ID=2000000697, Name='Cawi Maliix', Test Score=93.0]
Student [ID=2000000077, Name='Cuyajira Powutoku', Test Score=63.0]
Student [ID=2000000613, Name='Dode Goqaneuv', Test Score=77.0]
Student [ID=2000000181, Name='Duviyo Epeu', Test Score=52.0]
Student [ID=2000000212, Name='Egeruya Horukis', Test Score=88.0]
Student [ID=2000000225, Name='Ejax Rikoya', Test Score=16.0]
Student [ID=2000000853, Name='Eoz Gisoyibi', Test Score=55.0]
Student [ID=2000000203, Name='Epuhoda Uebe', Test Score=51.0]
Student [ID=2000000086, Name='Fel Hiwau', Test Score=26.0]
Student [ID=2000000155, Name='Fetoiigi Tumeveba', Test Score=10.0]
Student [ID=2000000214, Name='Firielol Xedunanu', Test Score=25.0]
Student [ID=2000000047, Name='Gooigu Coviqoo', Test Score=100.0]
Student [ID=2000000030, Name='Hon Hidiih', Test Score=74.0]
Student [ID=2000000015, Name='Ibi Xadeamuj', Test Score=69.0]
Student [ID=2000000034, Name='Menegowu Uraub', Test Score=52.0]
Student [ID=2000000411, Name='Mudui Oxos', Test Score=67.0]
Student [ID=2000000090, Name='Muqeujus Ricizoo', Test Score=86.0]
Student [ID=2000000071, Name='Nahamaf Cucuroaw', Test Score=59.0]
Student [ID=2000000036, Name='Nazaya Yebeyuru', Test Score=49.0]
Student [ID=2000000049, Name='Ocezeqi Tape', Test Score=99.0]
Student [ID=2000000089, Name='Pacoei Uiy', Test Score=45.0]
Student [ID=2000000174, Name='Pip Usuyumo', Test Score=94.0]
Student [ID=2000000013, Name='Rieib Aafutaha', Test Score=84.0]
Student [ID=2000000029, Name='Tuni Esivih', Test Score=89.0]
Student [ID=2000000035, Name='Tuyatalo Gixuea', Test Score=96.0]
Student [ID=2000000048, Name='Upez Iekuzepi', Test Score=64.0]
Student [ID=2000000067, Name='Woa Houov', Test Score=98.0]
Student [ID=2000000142, Name='Xaizub Luki', Test Score=16.0]
Student [ID=2000000033, Name='Yaa Heni', Test Score=93.0]
Student [ID=2000000039, Name='Zuh Ixehi', Test Score=11.0]
Student [ID=2000000542, Name='Aawopaat Tuhas', Test Score=17.0]
Student [ID=2000000529, Name='Acufuxe Nuxucabe', Test Score=56.0]
Student [ID=2000000557, Name='Afo Turaluno', Test Score=14.0]
Student [ID=2000000644, Name='Akouw Duca', Test Score=33.0]
Student [ID=2000000151, Name='Apato Wiq', Test Score=25.0]
Student [ID=2000000349, Name='Ata Semocoh', Test Score=100.0]
Student [ID=2000000101, Name='Baihuj Icacizis', Test Score=43.0]
Student [ID=2000000202, Name='Capep Baxil', Test Score=85.0]
Student [ID=2000000859, Name='Cavi Sonax', Test Score=13.0]
Student [ID=2000000774, Name='Cawijif Figap', Test Score=65.0]
Student [ID=2000000111, Name='Cof Peo', Test Score=76.0]
Student [ID=2000000097, Name='Dew Riqica', Test Score=84.0]
Student [ID=2000000622, Name='Doawik Miei', Test Score=60.0]
Student [ID=2000000673, Name='Dodotow Din', Test Score=29.0]
Student [ID=2000000185, Name='Doqiu Jokabij', Test Score=41.0]
Student [ID=2000000221, Name='Eaim Zaciba', Test Score=37.0]
Student [ID=2000000460, Name='Egi Dizano', Test Score=19.0]
Student [ID=2000000312, Name='Ehaba Cakes', Test Score=64.0]
Student [ID=2000000238, Name='Ejuned Tokavuj', Test Score=25.0]
Student [ID=2000000220, Name='Evekidu Sihekoke', Test Score=57.0]
Student [ID=2000000469, Name='Feca Eqe', Test Score=54.0]
Student [ID=2000000689, Name='Fetan Xakao', Test Score=74.0]
Student [ID=2000000654, Name='Feuz Urah', Test Score=19.0]
Student [ID=2000000890, Name='Fipuzi Eguuxipe', Test Score=41.0]
Student [ID=2000000251, Name='Firoma Mexepu', Test Score=95.0]
Student [ID=2000000114, Name='Gek Igucim', Test Score=39.0]
Student [ID=2000000580, Name='Goye Tagiui', Test Score=39.0]
Student [ID=2000000107, Name='Hofejulo Cavapeiz', Test Score=63.0]
Student [ID=2000000425, Name='Horioca Acuovau', Test Score=24.0]
Student [ID=2000000044, Name='Hucisox Xixutati', Test Score=53.0]
Student [ID=2000000017, Name='Liuvis Jotuti', Test Score=56.0]
Student [ID=2000000112, Name='Mavas Eri', Test Score=41.0]
Student [ID=2000000041, Name='Miz Aonuqac', Test Score=34.0]
Student [ID=2000000777, Name='Muciyoco Bomeroho', Test Score=43.0]
Student [ID=2000000526, Name='Mum Oqieua', Test Score=15.0]
Student [ID=2000000385, Name='Naekadi Rolaev', Test Score=31.0]
Student [ID=2000000209, Name='Naigiwo Yibab', Test Score=25.0]
Student [ID=2000000326, Name='Naxoful Xai', Test Score=17.0]
Student [ID=2000000106, Name='Nubomoi Xafuti', Test Score=54.0]
Student [ID=2000000110, Name='Oaxuvub Oyo', Test Score=70.0]
Student [ID=2000000075, Name='Ode Aihewit', Test Score=43.0]
Student [ID=2000000134, Name='Onure Apu', Test Score=20.0]
Student [ID=2000000113, Name='Paqaa Bejaj', Test Score=23.0]
Student [ID=2000000530, Name='Pion Ziyup', Test Score=85.0]
Student [ID=2000000014, Name='Poni Solerau', Test Score=73.0]
Student [ID=2000000064, Name='Rove Kakuu', Test Score=31.0]
Student [ID=2000000046, Name='Tozocoie Usim', Test Score=97.0]
Student [ID=2000000154, Name='Tuo Wibadov', Test Score=25.0]
Student [ID=2000000521, Name='Tuuyo Eaif', Test Score=87.0]
Student [ID=2000000056, Name='Ugecoyu Xano', Test Score=73.0]
Student [ID=2000000471, Name='Upatiad Gof', Test Score=61.0]
Student [ID=2000000070, Name='Uze Dam', Test Score=26.0]
Student [ID=2000000271, Name='Wizui Zecueoge', Test Score=98.0]
Student [ID=2000000094, Name='Wot Pekoqe', Test Score=37.0]
Student [ID=2000000252, Name='Wucobuey Xenefu', Test Score=65.0]
Student [ID=2000000829, Name='Xam Lexec', Test Score=30.0]
Student [ID=2000000040, Name='Xuarake Yelehujo', Test Score=26.0]
Student [ID=2000000060, Name='Yagaj Ipog', Test Score=19.0]
Student [ID=2000000088, Name='Zot Hanoco', Test Score=25.0]
Student [ID=2000000123, Name='Zusofer Ezu', Test Score=58.0]
Student [ID=2000000718, Name='Abafi Moluruj', Test Score=22.0]
Student [ID=2000000562, Name='Acexexa Biarual', Test Score=95.0]
Student [ID=2000000758, Name='Adiyowi Kigi', Test Score=96.0]
Student [ID=2000000578, Name='Afini Totu', Test Score=65.0]
Student [ID=2000000563, Name='Afoxeb Joeuuhoh', Test Score=10.0]
Student [ID=2000000497, Name='Aniviike Jubu', Test Score=22.0]
Student [ID=2000000837, Name='Apiom Xig', Test Score=74.0]
Student [ID=2000000700, Name='Aqaz Koxozil', Test Score=82.0]
Student [ID=2000000247, Name='Axujacib Puu', Test Score=69.0]
Student [ID=2000000140, Name='Bapeqiju Joqof', Test Score=54.0]
Student [ID=2000000293, Name='Canaru Tot', Test Score=93.0]
Student [ID=2000000891, Name='Ceecuci Kobi', Test Score=52.0]
Student [ID=2000000153, Name='Cer Ebat', Test Score=36.0]
Student [ID=2000000210, Name='Cuehu Abo', Test Score=92.0]
Student [ID=2000000163, Name='Dara Anehi', Test Score=48.0]
Student [ID=2000000126, Name='Dibikoae Peacipa', Test Score=66.0]
Student [ID=2000000885, Name='Diqecu Bado', Test Score=66.0]
Student [ID=2000000318, Name='Dof Kiuuabi', Test Score=33.0]
Student [ID=2000000381, Name='Dug Iji', Test Score=90.0]
Student [ID=2000000987, Name='Eaf Sonug', Test Score=39.0]
Student [ID=2000000276, Name='Edaamuve Oduaipiv', Test Score=59.0]
Student [ID=2000000325, Name='Eiz Ifee', Test Score=36.0]
Student [ID=2000000852, Name='Ekomitej Patufias', Test Score=15.0]
Student [ID=2000000241, Name='Etoware Pebavi', Test Score=36.0]
Student [ID=2000000316, Name='Evinaove Noho', Test Score=49.0]
Student [ID=2000000995, Name='Feh Sumuqa', Test Score=22.0]
Student [ID=2000000882, Name='Fesaq Niget', Test Score=13.0]
Student [ID=2000000655, Name='Fiina Qogead', Test Score=36.0]
Student [ID=2000000259, Name='Focibami Viju', Test Score=48.0]
Student [ID=2000000173, Name='Garileza Budube', Test Score=99.0]
Student [ID=2000000378, Name='Giy Ailudaur', Test Score=35.0]
Student [ID=2000000782, Name='Gouuqier Tifowor', Test Score=74.0]
Student [ID=2000000609, Name='Gozef Keyoro', Test Score=28.0]
Student [ID=2000000122, Name='Hikiy Ihikonu', Test Score=29.0]
Student [ID=2000000345, Name='Homo Jiix', Test Score=84.0]
Student [ID=2000000823, Name='Hoyiwe Qawaha', Test Score=93.0]
Student [ID=2000000125, Name='Huh Guacoh', Test Score=86.0]
Student [ID=2000000018, Name='Ligoaf Ujifeo', Test Score=77.0]
Student [ID=2000000027, Name='Lixuubo Amuvogau', Test Score=80.0]
Student [ID=2000000366, Name='Mato Hukaap', Test Score=42.0]
Student [ID=2000000296, Name='Meb Doxux', Test Score=18.0]
Student [ID=2000000139, Name='Miedihi Jin', Test Score=26.0]
Student [ID=2000000078, Name='Mizocul Luwopena', Test Score=24.0]
Student [ID=2000000714, Name='Muew Iyuig', Test Score=52.0]
Student [ID=2000000756, Name='Munowor Kuqo', Test Score=50.0]
Student [ID=2000000778, Name='Muze Wokedut', Test Score=12.0]
Student [ID=2000000776, Name='Nalosoid Wuu', Test Score=30.0]
Student [ID=2000000219, Name='Nivige Oekicee', Test Score=74.0]
Student [ID=2000000165, Name='Nufoqo Pulob', Test Score=27.0]
Student [ID=2000000115, Name='Nunos Ibe', Test Score=70.0]
Student [ID=2000000211, Name='Ofepod Uokoyoju', Test Score=52.0]
Student [ID=2000000193, Name='Oinaemut Exito', Test Score=23.0]
Student [ID=2000000157, Name='Oquxam Uxohafou', Test Score=36.0]
Student [ID=2000000324, Name='Pahanipo Zum', Test Score=33.0]
Student [ID=2000000230, Name='Pebanu Eneluquj', Test Score=81.0]
Student [ID=2000000619, Name='Pexisih Baafevuy', Test Score=61.0]
Student [ID=2000000235, Name='Podedapu Leeqaw', Test Score=82.0]
Student [ID=2000000062, Name='Qiqo Laran', Test Score=95.0]
Student [ID=2000000080, Name='Rod Wowe', Test Score=50.0]
Student [ID=2000000152, Name='Rual Aweyabu', Test Score=14.0]
Student [ID=2000000051, Name='Rulit Nax', Test Score=70.0]
Student [ID=2000000386, Name='Tune Titap', Test Score=50.0]
Student [ID=2000000295, Name='Ture Sada', Test Score=42.0]
Student [ID=2000000104, Name='Uamea Wuginugu', Test Score=61.0]
Student [ID=2000000274, Name='Uiaenaki Qehe', Test Score=32.0]
Student [ID=2000000904, Name='Unusiye Iti', Test Score=33.0]
Student [ID=2000000100, Name='Uqifu Fee', Test Score=90.0]
Student [ID=2000000098, Name='Viluticu Ley', Test Score=67.0]
Student [ID=2000000278, Name='Wirit Nuso', Test Score=19.0]
Student [ID=2000000258, Name='Woaa Tipexe', Test Score=57.0]
Student [ID=2000000840, Name='Wuak Botavek', Test Score=58.0]
Student [ID=2000000343, Name='Wuleruo Nurinih', Test Score=58.0]
Student [ID=2000000975, Name='Xanibif Cafe', Test Score=46.0]
Student [ID=2000000045, Name='Xejuqe Coqo', Test Score=93.0]
Student [ID=2000000087, Name='Xum Deikagip', Test Score=87.0]
Student [ID=2000000108, Name='Yaelof Iqei', Test Score=76.0]
Student [ID=2000000103, Name='Yee Axoxanac', Test Score=84.0]
Student [ID=2000000128, Name='Zopipuu Tugar', Test Score=25.0]
Student [ID=2000000294, Name='Zouwacuz Jitoxoa', Test Score=15.0]
Student [ID=2000000158, Name='Zusewem Ree', Test Score=72.0]
Student [ID=2000000958, Name='Acodi Cuzifeey', Test Score=100.0]
Student [ID=2000000639, Name='Afi Wuwuek', Test Score=58.0]
Student [ID=2000000866, Name='Aolad Ozag', Test Score=77.0]
Student [ID=2000000967, Name='Axo Haqil', Test Score=46.0]
Student [ID=2000000412, Name='Ayeayayu Nen', Test Score=93.0]
Student [ID=2000000179, Name='Balegoni Bafu', Test Score=58.0]
Student [ID=2000000207, Name='Cago Kobaut', Test Score=47.0]
Student [ID=2000000489, Name='Cake Rubofo', Test Score=28.0]
Student [ID=2000000485, Name='Caovec Afup', Test Score=72.0]
Student [ID=2000000876, Name='Cejira Tagij', Test Score=12.0]
Student [ID=2000000218, Name='Citoxa Yau', Test Score=59.0]
Student [ID=2000000333, Name='Cohoga Isuofeur', Test Score=16.0]
Student [ID=2000000267, Name='Cug Esij', Test Score=56.0]
Student [ID=2000000300, Name='Daisilug Zojaxoh', Test Score=34.0]
Student [ID=2000000483, Name='Debaj Dudoi', Test Score=96.0]
Student [ID=2000000671, Name='Digi Tovoquo', Test Score=47.0]
Student [ID=2000000456, Name='Dofiquke Ruxole', Test Score=43.0]
Student [ID=2000000704, Name='Dufekin Nijara', Test Score=83.0]
Student [ID=2000000554, Name='Dusipuki Zohur', Test Score=80.0]
Student [ID=2000000629, Name='Ebukisez Odimiqex', Test Score=56.0]
Student [ID=2000000595, Name='Eevi Taoujaq', Test Score=37.0]
Student [ID=2000000408, Name='Esoni Luleeqoc', Test Score=51.0]
Student [ID=2000000484, Name='Euj Xuk', Test Score=29.0]
Student [ID=2000000334, Name='Eyeg Ruro', Test Score=90.0]
Student [ID=2000000722, Name='Fica Faro', Test Score=52.0]
Student [ID=2000000834, Name='Fimoyan Kadeve', Test Score=77.0]
Student [ID=2000000372, Name='Fobub Sobeusay', Test Score=62.0]
Student [ID=2000000301, Name='Foic Cero', Test Score=92.0]
Student [ID=2000000477, Name='Gag Doyewexa', Test Score=12.0]
Student [ID=2000000248, Name='Gaxaeau Taganu', Test Score=78.0]
Student [ID=2000000462, Name='Gixiazus Wobomup', Test Score=75.0]
Student [ID=2000000657, Name='Golexivo Puyi', Test Score=14.0]
Student [ID=2000000828, Name='Goz Qad', Test Score=49.0]
Student [ID=2000000738, Name='Gupere Kuoloti', Test Score=10.0]
Student [ID=2000000204, Name='Hafepuz Cuvuatob', Test Score=75.0]
Student [ID=2000000280, Name='Hip Wuquake', Test Score=15.0]
Student [ID=2000000383, Name='Hole Gojuhifo', Test Score=10.0]
Student [ID=2000000947, Name='Hosiea Hofap', Test Score=48.0]
Student [ID=2000000338, Name='Hul Avenemey', Test Score=86.0]
Student [ID=2000000019, Name='Lezayuur Zujuvo', Test Score=23.0]
Student [ID=2000000065, Name='Liku Utiroli', Test Score=60.0]
Student [ID=2000000954, Name='Liwuuhua Sutuden', Test Score=22.0]
Student [ID=2000000037, Name='Loige Page', Test Score=41.0]
Student [ID=2000000463, Name='Mabi Evi', Test Score=44.0]
Student [ID=2000000593, Name='Mawesowe Jeda', Test Score=68.0]
Student [ID=2000000647, Name='Megu Hoq', Test Score=24.0]
Student [ID=2000000146, Name='Mepoy Seueoke', Test Score=33.0]
Student [ID=2000000161, Name='Mijurow Peminu', Test Score=20.0]
Student [ID=2000000552, Name='Mizewud Yooihug', Test Score=42.0]
Student [ID=2000000191, Name='Morizep Hamuz', Test Score=31.0]
Student [ID=2000000897, Name='Mui Eqoyi', Test Score=45.0]
Student [ID=2000000992, Name='Mun Gapeboc', Test Score=97.0]
Student [ID=2000000784, Name='Nasa Hepul', Test Score=94.0]
Student [ID=2000000261, Name='Ninesi Vudekuu', Test Score=80.0]
Student [ID=2000000233, Name='Nooomo Usenene', Test Score=96.0]
Student [ID=2000000309, Name='Nubuu Yiibi', Test Score=93.0]
Student [ID=2000000433, Name='Nuleq Licukahe', Test Score=16.0]
Student [ID=2000000120, Name='Nunociz Deamaga', Test Score=52.0]
Student [ID=2000000162, Name='Nuwivar Cewi', Test Score=55.0]
Student [ID=2000000426, Name='Odofaje Lao', Test Score=91.0]
Student [ID=2000000820, Name='Ofis Epibeb', Test Score=48.0]
Student [ID=2000000332, Name='Ojuiuy Opap', Test Score=49.0]
Student [ID=2000000787, Name='Opex Viduy', Test Score=83.0]
Student [ID=2000000194, Name='Owogorek Fik', Test Score=66.0]
Student [ID=2000000588, Name='Palio Bafutie', Test Score=23.0]
Student [ID=2000000566, Name='Pedui Fakole', Test Score=88.0]
Student [ID=2000000761, Name='Peuqahuj Lore', Test Score=88.0]
Student [ID=2000000643, Name='Pin Cibealu', Test Score=61.0]
Student [ID=2000000488, Name='Pocoosi Hahid', Test Score=15.0]
Student [ID=2000000302, Name='Poeje Mausopat', Test Score=27.0]
Student [ID=2000000081, Name='Qaf Jiyereyu', Test Score=76.0]
Student [ID=2000000091, Name='Qizusono Ohucipi', Test Score=22.0]
Student [ID=2000000102, Name='Roce Ujuk', Test Score=82.0]
Student [ID=2000000464, Name='Ronu Zelenuve', Test Score=28.0]
Student [ID=2000000270, Name='Roxuz Domedamu', Test Score=63.0]
Student [ID=2000000888, Name='Rue Zam', Test Score=40.0]
Student [ID=2000000143, Name='Ruhicoj Huc', Test Score=40.0]
Student [ID=2000000066, Name='Ruoweixu Raawijoj', Test Score=76.0]
Student [ID=2000000559, Name='Tujefaua Yog', Test Score=31.0]
Student [ID=2000000929, Name='Tuqu Recaw', Test Score=62.0]
Student [ID=2000000159, Name='Ueki Yicabaxa', Test Score=40.0]
Student [ID=2000000379, Name='Uhawal Wilaike', Test Score=62.0]
Student [ID=2000000319, Name='Ujomeg Ukeyuulu', Test Score=46.0]
Student [ID=2000000728, Name='Uqejiciu Zinium', Test Score=92.0]
Student [ID=2000000253, Name='Uukijice Buq', Test Score=63.0]
Student [ID=2000000132, Name='Vewi Ecanise', Test Score=81.0]
Student [ID=2000000156, Name='Vip Rikox', Test Score=60.0]
Student [ID=2000000368, Name='Wikeobiu Ueaizilu', Test Score=21.0]
Student [ID=2000000265, Name='Woaozi Queceh', Test Score=73.0]
Student [ID=2000000965, Name='Woxeumus Iziqeq', Test Score=95.0]
Student [ID=2000000943, Name='Wujuooqa Jopusov', Test Score=59.0]
Student [ID=2000000735, Name='Wuy Iezuo', Test Score=84.0]
Student [ID=2000000216, Name='Xebawuqo Vokuc', Test Score=56.0]
Student [ID=2000000129, Name='Xeye Kikof', Test Score=83.0]
Student [ID=2000000240, Name='Xujayuq Fagizaj', Test Score=51.0]
Student [ID=2000000109, Name='Xunoe Ceigu', Test Score=29.0]
Student [ID=2000000519, Name='Yaaw Xepe', Test Score=51.0]
Student [ID=2000000314, Name='Yaqie Xoe', Test Score=53.0]
Student [ID=2000000242, Name='Yieci Bezaqa', Test Score=51.0]
Student [ID=2000000138, Name='Zipa Fori', Test Score=93.0]
Student [ID=2000000970, Name='Zopir Gicivix', Test Score=68.0]
Student [ID=2000000510, Name='Zotocime Zaiw', Test Score=17.0]
Student [ID=2000000352, Name='Zoxu Xis', Test Score=74.0]
Student [ID=2000000190, Name='Zuru Abiel', Test Score=78.0]
Student [ID=2000000771, Name='Afeuca Jinemas', Test Score=24.0]
Student [ID=2000000688, Name='Ayop Heqac', Test Score=83.0]
Student [ID=2000000322, Name='Baki Xiis', Test Score=61.0]
Student [ID=2000000197, Name='Banog Inuq', Test Score=78.0]
Student [ID=2000000217, Name='Bis Lowuemi', Test Score=57.0]
Student [ID=2000000911, Name='Caip Goh', Test Score=75.0]
Student [ID=2000000865, Name='Can Caxebei', Test Score=55.0]
Student [ID=2000000843, Name='Canuw Cixan', Test Score=13.0]
Student [ID=2000000266, Name='Cereto Omelaeix', Test Score=21.0]
Student [ID=2000000328, Name='Coeti Daeqo', Test Score=80.0]
Student [ID=2000000375, Name='Cojaziq Roluhe', Test Score=79.0]
Student [ID=2000000938, Name='Cufoguwe Ser', Test Score=85.0]
Student [ID=2000000479, Name='Cuxiesis Coyuipuq', Test Score=59.0]
Student [ID=2000000330, Name='Daho Tevaxiya', Test Score=78.0]
Student [ID=2000000646, Name='Danen Soo', Test Score=98.0]
Student [ID=2000000797, Name='Davaq Dakog', Test Score=53.0]
Student [ID=2000000505, Name='Deol Osoobo', Test Score=54.0]
Student [ID=2000000459, Name='Dolisug Rinohoda', Test Score=94.0]
Student [ID=2000000913, Name='Dua Hei', Test Score=33.0]
Student [ID=2000000780, Name='Duqit Ohuvo', Test Score=86.0]
Student [ID=2000000752, Name='Ega Fudubum', Test Score=38.0]
Student [ID=2000000902, Name='Eratejic Bafuqir', Test Score=97.0]
Student [ID=2000000499, Name='Esuga Gubu', Test Score=61.0]
Student [ID=2000000549, Name='Eufiax Dedikoz', Test Score=37.0]
Student [ID=2000000645, Name='Eve Yuxigaa', Test Score=50.0]
Student [ID=2000000630, Name='Ewimes Vad', Test Score=87.0]
Student [ID=2000000348, Name='Fadasuz Taa', Test Score=65.0]
Student [ID=2000000764, Name='Fii Piwirijo', Test Score=24.0]
Student [ID=2000000455, Name='Fisiwok Duwapeeg', Test Score=62.0]
Student [ID=2000000803, Name='Fofiyo Jaxuq', Test Score=35.0]
Student [ID=2000000437, Name='Fonau Wik', Test Score=95.0]
Student [ID=2000000576, Name='Futeze Edofu', Test Score=88.0]
Student [ID=2000000909, Name='Gaka Qeqanehu', Test Score=77.0]
Student [ID=2000000331, Name='Gawibi Belu', Test Score=68.0]
Student [ID=2000000440, Name='Geaovuo Vefeqe', Test Score=31.0]
Student [ID=2000000579, Name='Gep Pufejev', Test Score=94.0]
Student [ID=2000000682, Name='Goduuuge Loguf', Test Score=11.0]
Student [ID=2000000855, Name='Gukahici Fefer', Test Score=26.0]
Student [ID=2000000811, Name='Guyoge Ezehu', Test Score=71.0]
Student [ID=2000000569, Name='Haba Oou', Test Score=87.0]
Student [ID=2000000223, Name='Heuh Nina', Test Score=15.0]
Student [ID=2000000863, Name='Hil Asuluw', Test Score=41.0]
Student [ID=2000000648, Name='Hiv Exo', Test Score=52.0]
Student [ID=2000000402, Name='Hoiob Beoelubo', Test Score=52.0]
Student [ID=2000000406, Name='Hujex Wisimee', Test Score=68.0]
Student [ID=2000000482, Name='Huyiy Eroduf', Test Score=45.0]
Student [ID=2000000032, Name='Lebase Kecefil', Test Score=20.0]
Student [ID=2000000196, Name='Liamo Ihap', Test Score=95.0]
Student [ID=2000000634, Name='Liku Goxumaso', Test Score=43.0]
Student [ID=2000000340, Name='Lil Oidikaxe', Test Score=20.0]
Student [ID=2000000627, Name='Loaxazo Jijulib', Test Score=49.0]
Student [ID=2000000145, Name='Lufa Vedagol', Test Score=35.0]
Student [ID=2000000721, Name='Mapize Woezu', Test Score=63.0]
Student [ID=2000000711, Name='Mececec Baroon', Test Score=34.0]
Student [ID=2000000373, Name='Miasot Uqalanuh', Test Score=53.0]
Student [ID=2000000683, Name='Mihaco Eyucub', Test Score=63.0]
Student [ID=2000000571, Name='Misee Oalip', Test Score=20.0]
Student [ID=2000000234, Name='Mofeed Liju', Test Score=79.0]
Student [ID=2000000205, Name='Moxau Zuv', Test Score=98.0]
Student [ID=2000000382, Name='Nilaha Nusaj', Test Score=27.0]
Student [ID=2000000650, Name='Niuju Hoojuise', Test Score=21.0]
Student [ID=2000000336, Name='Noma Haopenu', Test Score=50.0]
Student [ID=2000000504, Name='Nozayus Vuazu', Test Score=89.0]
Student [ID=2000000537, Name='Nuezuy Nupodaib', Test Score=83.0]
Student [ID=2000000486, Name='Nugecoel Zeurib', Test Score=54.0]
Student [ID=2000000262, Name='Nuni Yip', Test Score=81.0]
Student [ID=2000000357, Name='Nuwi Kobo', Test Score=80.0]
Student [ID=2000000710, Name='Oaw Pue', Test Score=56.0]
Student [ID=2000000666, Name='Oeata Ikay', Test Score=82.0]
Student [ID=2000000874, Name='Ogap Win', Test Score=42.0]
Student [ID=2000000851, Name='Ojexiv Kuf', Test Score=92.0]
Student [ID=2000000418, Name='Okup Kejen', Test Score=20.0]
Student [ID=2000000228, Name='Ora Zola', Test Score=58.0]
Student [ID=2000000236, Name='Paai Mumaloo', Test Score=14.0]
Student [ID=2000000924, Name='Pajituci Rofage', Test Score=69.0]
